from,to,value,fid,
ip_1_0,ip_1_2,A’,a^the,
ip_1_3,ip_1_9,Chaora,chaora,
ip_1_10,ip_1_15,Dhubh,dhubh,
ip_1_17,ip_1_19,’S,is,
ip_1_20,ip_1_21,e,e,
ip_1_22,ip_1_27,Tòmas,Tòmas,
ip_1_28,ip_1_30,an,an^the,
ip_1_31,ip_1_34,aon,aon,
ip_1_35,ip_1_44,chroitear,chroitear,
ip_1_45,ip_1_47,as,as^rel,
ip_1_48,ip_1_54,aithne,aithne,
ip_1_55,ip_1_60,dhomh,dhomh,
ip_1_61,ip_1_62,a,a^rel,
ip_1_63,ip_1_72,dh’èirich,dh’èirich,
ip_1_73,ip_1_75,gu,gu^prep,
ip_1_76,ip_1_81,inbhe,inbhe,
ip_1_82,ip_1_90,taidhcùn,taidhcùn,
ip_1_92,ip_1_96,Rinn,rinn,
ip_1_97,ip_1_98,e,e,
ip_1_99,ip_1_102,sin,sin,
ip_1_103,ip_1_106,tro,tro,
ip_1_107,ip_1_116,dhìcheall,dhìcheall,
ip_1_118,ip_1_123,obair,obair,
ip_1_124,ip_1_132,chruaidh,chruaidh,
ip_1_133,ip_1_137,agus,agus,
ip_1_138,ip_1_144,tàlant,tàlant,
ip_1_145,ip_1_152,malairt,malairt,
ip_1_153,ip_1_154,a,a^rel,
ip_1_155,ip_1_158,bha,bha,
ip_1_159,ip_1_172,neo-ghnàthach,neo-ghnàthach,
ip_1_174,ip_1_182,An-diugh,an-diugh,
ip_1_183,ip_1_186,tha,tha,
ip_1_187,ip_1_193,iomadh,iomadh,
ip_1_194,ip_1_204,companaidh,companaidh,
ip_1_205,ip_1_207,na,na^prep,
ip_1_208,ip_1_212,ainm,ainm,
ip_1_213,ip_1_216,air,air^prep,
ip_1_217,ip_1_222,feadh,feadh,
ip_1_223,ip_1_225,na,na^the,
ip_1_226,ip_1_239,Gàidhealtachd,Gàidhealtachd,
ip_1_241,ip_1_244,Bha,bha,
ip_1_245,ip_1_254,seachdnar,seachdnar,
ip_1_255,ip_1_257,de,de,
ip_1_258,ip_1_268,theaghlach,theaghlach,
ip_1_269,ip_1_273,aige,aige,
ip_1_275,ip_1_283,ceathrar,ceathrar,
ip_1_284,ip_1_288,mhac,mhac,
ip_1_289,ip_1_293,agus,agus,
ip_1_294,ip_1_300,triùir,triùir,
ip_1_301,ip_1_308,nighean,nighean,
ip_1_310,ip_1_314,agus,agus,
ip_1_315,ip_1_318,bha,bha,
ip_1_319,ip_1_320,a,a^gach,
ip_1_321,ip_1_327,h-uile,h-uile,
ip_1_328,ip_1_332,fear,fear,
ip_1_333,ip_1_335,is,is^agus,
ip_1_336,ip_1_338,tè,tè,
ip_1_339,ip_1_343,anns,anns,
ip_1_344,ip_1_346,a’,a^the,
ip_1_347,ip_1_355,mhalairt,mhalairt,
ip_1_356,ip_1_359,ach,ach,
ip_1_360,ip_1_363,Rob,Rob,
ip_1_366,ip_1_368,B’,bu,
ip_1_369,ip_1_370,e,e,
ip_1_371,ip_1_374,Rob,Rob,
ip_1_375,ip_1_376,a,a^rel,
ip_1_377,ip_1_379,b’,bu,
ip_1_380,ip_1_384,òige,òige,
ip_1_385,ip_1_389,agus,agus,
ip_1_390,ip_1_394,lean,lean,
ip_1_395,ip_1_396,e,e,
ip_1_397,ip_1_399,an,an^the,
ip_1_400,ip_1_405,sgoil,sgoil,
ip_1_407,ip_1_412,Nuair,nuair,
