from,to,value,
ip_4_0,ip_4_2,An,
ip_4_3,ip_4_11,Còirneal,
ip_4_13,ip_4_16,Aig,
ip_4_17,ip_4_19,an,
ip_4_20,ip_4_22,àm,
ip_4_30,ip_4_32,’s,
ip_4_33,ip_4_34,e,
ip_4_35,ip_4_38,rùn,
ip_4_39,ip_4_47,dìomhair,
ip_4_48,ip_4_54,stàite,
ip_4_55,ip_4_56,a,
ip_4_57,ip_4_60,bha,
ip_4_61,ip_4_64,san,
ip_4_65,ip_4_75,eachdraidh,
ip_4_76,ip_4_79,seo,
ip_4_81,ip_4_83,’S,
ip_4_84,ip_4_89,dòcha,
ip_4_90,ip_4_93,gur,
ip_4_94,ip_4_95,e,
ip_4_96,ip_4_99,sin,
ip_4_100,ip_4_101,a,
ip_4_102,ip_4_105,tha,
ip_4_106,ip_4_111,innte,
ip_4_112,ip_4_120,fhathast,
ip_4_122,ip_4_125,ach,
ip_4_126,ip_4_129,mas,
ip_4_130,ip_4_131,e,
ip_4_133,ip_4_136,tha,
ip_4_137,ip_4_139,mi,
ip_4_140,ip_4_149,cinnteach,
ip_4_150,ip_4_154,nach,
ip_4_155,ip_4_161,aidich,
ip_4_162,ip_4_164,an,
ip_4_165,ip_4_175,Riaghaltas,
ip_4_176,ip_4_179,gun,
ip_4_180,ip_4_188,thachair,
ip_4_189,ip_4_193,càil,
ip_4_194,ip_4_198,dhen,
ip_4_199,ip_4_207,t-seòrsa,
ip_4_209,ip_4_216,Canaidh,
ip_4_217,ip_4_220,iad,
ip_4_221,ip_4_224,gur,
ip_4_225,ip_4_226,e,
ip_4_227,ip_4_235,uirsgeul,
ip_4_236,ip_4_237,a,
ip_4_238,ip_4_241,tha,
ip_4_242,ip_4_245,ann,
ip_4_246,ip_4_248,no,
ip_4_249,ip_4_252,gur,
ip_4_253,ip_4_254,e,
ip_4_255,ip_4_261,fealla,
ip_4_262,ip_4_265,dhà,
ip_4_266,ip_4_267,a,
ip_4_268,ip_4_271,tha,
ip_4_272,ip_4_275,air,
ip_4_276,ip_4_277,m,
ip_4_279,ip_4_283,aire,
ip_4_285,ip_4_288,Tha,
ip_4_289,ip_4_291,mi,
ip_4_292,ip_4_294,a’,
ip_4_295,ip_4_308,faireachdainn,
ip_4_309,ip_4_313,saor,
ip_4_314,ip_4_316,an,
ip_4_317,ip_4_324,aithisg,
ip_4_325,ip_4_326,a,
ip_4_327,ip_4_337,sgrìobhadh,
ip_4_338,ip_4_343,a-nis,
ip_4_345,ip_4_348,oir,
ip_4_349,ip_4_352,cha,
ip_4_353,ip_4_362,ghoirtich,
ip_4_363,ip_4_364,i,
ip_4_365,ip_4_370,duine,
ip_4_372,ip_4_380,bhàsaich,
ip_4_381,ip_4_394,peathraichean,
ip_4_395,ip_4_397,a’,
ip_4_398,ip_4_407,Chòirneil,
ip_4_409,ip_4_413,Anna,
ip_4_414,ip_4_418,agus,
ip_4_419,ip_4_424,Peigi,
ip_4_426,ip_4_427,o,
ip_4_428,ip_4_434,chionn,
ip_4_435,ip_4_440,fhada,
ip_4_443,ip_4_448,Duine,
ip_4_449,ip_4_452,gun,
ip_4_453,ip_4_458,lochd,
ip_4_459,ip_4_460,a,
ip_4_461,ip_4_464,bh’,
ip_4_465,ip_4_471,ann an,
ip_4_472,ip_4_481,Coinneach,
ip_4_482,ip_4_492,Mhurchaidh,
ip_4_494,ip_4_497,ain,
ip_4_498,ip_4_506,Sheumais,
ip_4_508,ip_4_510,’S,
ip_4_511,ip_4_512,e,
ip_4_513,ip_4_515,an,
ip_4_516,ip_4_524,Còirneal,
ip_4_525,ip_4_526,a,
ip_4_527,ip_4_533,bhiodh,
ip_4_534,ip_4_537,aig,
ip_4_538,ip_4_542,beag,
ip_4_543,ip_4_545,is,
ip_4_546,ip_4_549,mòr,
ip_4_550,ip_4_553,air,
ip_4_555,ip_4_559,agus,
ip_4_560,ip_4_562,’s,
ip_4_563,ip_4_564,e,
ip_4_565,ip_4_568,sin,
ip_4_569,ip_4_570,a,
ip_4_571,ip_4_574,bha,
ip_4_575,ip_4_576,e,
ip_4_577,ip_4_582,fhèin,
ip_4_583,ip_4_585,ag,
ip_4_586,ip_4_594,iarraidh,
ip_4_595,ip_4_598,ged,
ip_4_599,ip_4_603,nach,
ip_4_604,ip_4_608,robh,
ip_4_609,ip_4_610,e,
