from,to,value,case,accent,
ip_5_0,ip_5_1,A,upper,none,
ip_5_1,ip_5_2,N,lower,none,
ip_5_3,ip_5_4,D,upper,none,
ip_5_4,ip_5_5,A,lower,none,
ip_5_5,ip_5_6,L,lower,none,
ip_5_6,ip_5_7,T,lower,none,
ip_5_7,ip_5_8,A,lower,none,
ip_5_10,ip_5_11,F,upper,none,
ip_5_11,ip_5_12,H,lower,none,
ip_5_12,ip_5_13,U,lower,none,
ip_5_13,ip_5_14,A,lower,none,
ip_5_14,ip_5_15,I,lower,none,
ip_5_15,ip_5_16,R,lower,none,
ip_5_17,ip_5_18,B,lower,none,
ip_5_18,ip_5_19,A,lower,none,
ip_5_19,ip_5_20,N,lower,none,
ip_5_20,ip_5_21,T,lower,none,
ip_5_21,ip_5_22,R,lower,none,
ip_5_22,ip_5_23,A,lower,none,
ip_5_23,ip_5_24,C,lower,none,
ip_5_24,ip_5_25,H,lower,none,
ip_5_26,ip_5_27,U,upper,none,
ip_5_27,ip_5_28,I,lower,none,
ip_5_28,ip_5_29,L,lower,none,
ip_5_29,ip_5_30,L,lower,none,
ip_5_30,ip_5_31,E,lower,none,
ip_5_31,ip_5_32,I,lower,none,
ip_5_32,ip_5_33,M,lower,none,
ip_5_34,ip_5_35,D,lower,none,
ip_5_35,ip_5_36,I,lower,grave,
ip_5_36,ip_5_37,L,lower,none,
ip_5_37,ip_5_38,E,lower,none,
ip_5_38,ip_5_39,A,lower,none,
ip_5_39,ip_5_40,B,lower,none,
ip_5_41,ip_5_42,N,lower,none,
ip_5_42,ip_5_43,E,lower,none,
ip_5_43,ip_5_44,O,lower,none,
ip_5_45,ip_5_46,A,lower,grave,
ip_5_46,ip_5_47,B,lower,none,
ip_5_47,ip_5_48,H,lower,none,
ip_5_48,ip_5_49,A,lower,none,
ip_5_49,ip_5_50,I,lower,none,
ip_5_50,ip_5_51,S,lower,none,
ip_5_51,ip_5_52,T,lower,none,
ip_5_52,ip_5_53,E,lower,none,
ip_5_53,ip_5_54,A,lower,none,
ip_5_54,ip_5_55,C,lower,none,
ip_5_55,ip_5_56,H,lower,none,
ip_5_57,ip_5_58,N,lower,none,
ip_5_58,ip_5_59,U,lower,none,
ip_5_59,ip_5_60,A,lower,none,
ip_5_60,ip_5_61,I,lower,none,
ip_5_61,ip_5_62,R,lower,none,
ip_5_63,ip_5_64,A,lower,none,
ip_5_65,ip_5_66,B,lower,none,
ip_5_66,ip_5_67,H,lower,none,
ip_5_67,ip_5_68,A,lower,grave,
ip_5_68,ip_5_69,S,lower,none,
ip_5_69,ip_5_70,A,lower,none,
ip_5_70,ip_5_71,I,lower,none,
ip_5_71,ip_5_72,C,lower,none,
ip_5_72,ip_5_73,H,lower,none,
ip_5_74,ip_5_75,A,lower,none,
ip_5_76,ip_5_77,P,lower,none,
ip_5_77,ip_5_78,I,lower,none,
ip_5_78,ip_5_79,U,lower,none,
ip_5_79,ip_5_80,T,lower,none,
ip_5_80,ip_5_81,H,lower,none,
ip_5_81,ip_5_82,A,lower,none,
ip_5_82,ip_5_83,R,lower,none,
ip_5_84,ip_5_85,A,lower,none,
ip_5_85,ip_5_86,N,lower,none,
ip_5_87,ip_5_88,D,upper,none,
ip_5_88,ip_5_89,U,lower,grave,
ip_5_89,ip_5_90,N,lower,none,
ip_5_91,ip_5_92,D,upper,none,
ip_5_92,ip_5_93,E,lower,grave,
ip_5_93,ip_5_94,A,lower,none,
ip_5_94,ip_5_95,G,lower,none,
ip_5_95,ip_5_96,H,lower,none,
ip_5_98,ip_5_99,B,upper,none,
ip_5_99,ip_5_100,H,lower,none,
ip_5_100,ip_5_101,A,lower,none,
ip_5_102,ip_5_103,T,lower,none,
ip_5_103,ip_5_104,R,lower,none,
ip_5_104,ip_5_105,I,lower,grave,
ip_5_106,ip_5_107,S,lower,none,
ip_5_107,ip_5_108,E,lower,none,
ip_5_108,ip_5_109,U,lower,none,
ip_5_109,ip_5_110,D,lower,none,
ip_5_110,ip_5_111,A,lower,none,
ip_5_111,ip_5_112,N,lower,none,
ip_5_113,ip_5_114,M,lower,none,
ip_5_114,ip_5_115,U,lower,none,
ip_5_115,ip_5_116,I,lower,none,
ip_5_116,ip_5_117,N,lower,none,
ip_5_117,ip_5_118,E,lower,none,
ip_5_118,ip_5_119,I,lower,none,
ip_5_119,ip_5_120,L,lower,none,
ip_5_121,ip_5_122,A,lower,none,
ip_5_122,ip_5_123,N,lower,none,
ip_5_123,ip_5_124,N,lower,none,
ip_5_125,ip_5_126,L,lower,none,
ip_5_126,ip_5_127,E,lower,none,
ip_5_128,ip_5_129,G,lower,none,
ip_5_129,ip_5_130,R,lower,none,
ip_5_130,ip_5_131,I,lower,grave,
ip_5_131,ip_5_132,O,lower,none,
ip_5_132,ip_5_133,G,lower,none,
ip_5_133,ip_5_134,A,lower,none,
ip_5_134,ip_5_135,G,lower,none,
ip_5_135,ip_5_136,A,lower,none,
ip_5_136,ip_5_137,N,lower,none,
ip_5_138,ip_5_139,N,lower,none,
ip_5_139,ip_5_140,E,lower,none,
ip_5_140,ip_5_141,A,lower,none,
ip_5_141,ip_5_142,M,lower,none,
ip_5_142,ip_5_143,H,lower,none,
ip_5_143,ip_5_144,N,lower,none,
ip_5_144,ip_5_145,A,lower,none,
ip_5_145,ip_5_146,I,lower,none,
ip_5_146,ip_5_147,D,lower,none,
ip_5_149,ip_5_150,B,lower,none,
ip_5_150,ip_5_151,R,lower,none,
ip_5_151,ip_5_152,O,lower,none,
ip_5_152,ip_5_153,I,lower,none,
ip_5_153,ip_5_154,D,lower,none,
ip_5_154,ip_5_155,S,lower,none,
ip_5_155,ip_5_156,I,lower,none,
ip_5_156,ip_5_157,C,lower,none,
ip_5_157,ip_5_158,H,lower,none,
ip_5_158,ip_5_159,E,lower,none,
ip_5_159,ip_5_160,A,lower,none,
ip_5_160,ip_5_161,N,lower,none,
ip_5_163,ip_5_164,F,lower,none,
ip_5_164,ip_5_165,A,lower,grave,
ip_5_165,ip_5_166,I,lower,none,
ip_5_166,ip_5_167,N,lower,none,
ip_5_167,ip_5_168,N,lower,none,
ip_5_168,ip_5_169,E,lower,none,
ip_5_169,ip_5_170,A,lower,none,
ip_5_170,ip_5_171,C,lower,none,
ip_5_171,ip_5_172,H,lower,none,
ip_5_172,ip_5_173,A,lower,none,
ip_5_173,ip_5_174,N,lower,none,
ip_5_176,ip_5_177,A,lower,none,
ip_5_177,ip_5_178,G,lower,none,
ip_5_178,ip_5_179,U,lower,none,
ip_5_179,ip_5_180,S,lower,none,
ip_5_181,ip_5_182,T,lower,none,
ip_5_182,ip_5_183,R,lower,none,
ip_5_183,ip_5_184,E,lower,none,
ip_5_184,ip_5_185,A,lower,none,
ip_5_185,ip_5_186,L,lower,none,
ip_5_186,ip_5_187,A,lower,none,
ip_5_187,ip_5_188,I,lower,none,
ip_5_188,ip_5_189,C,lower,none,
ip_5_189,ip_5_190,H,lower,none,
ip_5_190,ip_5_191,E,lower,none,
ip_5_191,ip_5_192,A,lower,none,
ip_5_192,ip_5_193,N,lower,none,
ip_5_194,ip_5_195,G,lower,none,
ip_5_195,ip_5_196,U,lower,none,
ip_5_197,ip_5_198,L,lower,none,
ip_5_198,ip_5_199,E,lower,none,
ip_5_199,ip_5_200,O,lower,grave,
ip_5_200,ip_5_201,R,lower,none,
ip_5_203,ip_5_204,B,upper,none,
ip_5_204,ip_5_205,H,lower,none,
ip_5_205,ip_5_206,A,lower,none,
ip_5_207,ip_5_208,A,lower,none,
ip_5_208,ip_5_209,M,lower,none,
ip_5_210,ip_5_211,M,lower,none,
ip_5_211,ip_5_212,I,lower,none,
ip_5_212,ip_5_213,N,lower,none,
ip_5_213,ip_5_214,I,lower,none,
ip_5_214,ip_5_215,S,lower,none,
ip_5_215,ip_5_216,T,lower,none,
ip_5_216,ip_5_217,E,lower,none,
ip_5_217,ip_5_218,A,lower,none,
ip_5_218,ip_5_219,R,lower,none,
ip_5_220,ip_5_221,A,lower,none,
ip_5_222,ip_5_223,S,lower,none,
ip_5_223,ip_5_224,T,lower,none,
ip_5_224,ip_5_225,A,lower,none,
ip_5_225,ip_5_226,I,lower,none,
ip_5_226,ip_5_227,G,lower,none,
ip_5_227,ip_5_228,H,lower,none,
ip_5_229,ip_5_230,A,lower,none,
ip_5_230,ip_5_231,M,lower,none,
ip_5_232,ip_5_233,F,lower,none,
ip_5_233,ip_5_234,E,lower,none,
ip_5_234,ip_5_235,A,lower,none,
ip_5_235,ip_5_236,S,lower,none,
ip_5_236,ip_5_237,G,lower,none,
ip_5_237,ip_5_238,A,lower,none,
ip_5_238,ip_5_239,R,lower,none,
ip_5_240,ip_5_241,A,lower,none,
ip_5_242,ip_5_243,T,lower,none,
ip_5_243,ip_5_244,H,lower,none,
ip_5_244,ip_5_245,A,lower,grave,
ip_5_245,ip_5_246,I,lower,none,
ip_5_246,ip_5_247,N,lower,none,
ip_5_247,ip_5_248,I,lower,none,
ip_5_248,ip_5_249,G,lower,none,
ip_5_250,ip_5_251,A,lower,none,
ip_5_251,ip_5_252,M,lower,none,
ip_5_253,ip_5_254,P,lower,none,
ip_5_254,ip_5_255,A,lower,none,
ip_5_255,ip_5_256,R,lower,none,
ip_5_256,ip_5_257,S,lower,none,
ip_5_257,ip_5_258,A,lower,none,
ip_5_258,ip_5_259,I,lower,none,
ip_5_259,ip_5_260,L,lower,none,
ip_5_262,ip_5_263,A,lower,none,
ip_5_263,ip_5_264,G,lower,none,
ip_5_264,ip_5_265,U,lower,none,
ip_5_265,ip_5_266,S,lower,none,
ip_5_267,ip_5_268,B,lower,none,
ip_5_268,ip_5_269,H,lower,none,
ip_5_269,ip_5_270,A,lower,none,
ip_5_271,ip_5_272,A,lower,none,
ip_5_274,ip_5_275,B,lower,none,
ip_5_275,ip_5_276,H,lower,none,
ip_5_276,ip_5_277,A,lower,none,
ip_5_277,ip_5_278,N,lower,none,
ip_5_278,ip_5_279,T,lower,none,
ip_5_279,ip_5_280,R,lower,none,
ip_5_280,ip_5_281,A,lower,none,
ip_5_281,ip_5_282,C,lower,none,
ip_5_282,ip_5_283,H,lower,none,
ip_5_284,ip_5_285,A,lower,none,
ip_5_287,ip_5_288,S,lower,none,
ip_5_288,ip_5_289,E,lower,none,
ip_5_289,ip_5_290,A,lower,none,
ip_5_290,ip_5_291,L,lower,none,
ip_5_291,ip_5_292,L,lower,none,
ip_5_292,ip_5_293,T,lower,none,
ip_5_293,ip_5_294,A,lower,none,
ip_5_294,ip_5_295,I,lower,none,
ip_5_295,ip_5_296,N,lower,none,
ip_5_296,ip_5_297,N,lower,none,
ip_5_298,ip_5_299,D,lower,none,
ip_5_299,ip_5_300,H,lower,none,
ip_5_300,ip_5_301,A,lower,none,
ip_5_302,ip_5_303,N,lower,none,
ip_5_303,ip_5_304,A,lower,none,
ip_5_305,ip_5_306,F,lower,none,
ip_5_306,ip_5_307,H,lower,none,
ip_5_307,ip_5_308,U,lower,none,
ip_5_308,ip_5_309,A,lower,none,
ip_5_309,ip_5_310,I,lower,none,
ip_5_310,ip_5_311,R,lower,none,
ip_5_312,ip_5_313,I,lower,none,
ip_5_314,ip_5_315,N,lower,none,
ip_5_315,ip_5_316,U,lower,none,
ip_5_316,ip_5_317,A,lower,none,
ip_5_317,ip_5_318,I,lower,none,
ip_5_318,ip_5_319,R,lower,none,
ip_5_320,ip_5_321,A,lower,none,
ip_5_322,ip_5_323,T,lower,none,
ip_5_323,ip_5_324,H,lower,none,
ip_5_324,ip_5_325,A,lower,grave,
ip_5_325,ip_5_326,I,lower,none,
ip_5_326,ip_5_327,N,lower,none,
ip_5_327,ip_5_328,I,lower,none,
ip_5_328,ip_5_329,G,lower,none,
ip_5_330,ip_5_331,F,upper,none,
ip_5_331,ip_5_332,R,lower,none,
ip_5_332,ip_5_333,A,lower,none,
ip_5_333,ip_5_334,N,lower,none,
ip_5_334,ip_5_335,K,lower,none,
ip_5_336,ip_5_337,A,lower,none,
ip_5_338,ip_5_339,S,lower,none,
ip_5_339,ip_5_340,T,lower,none,
ip_5_340,ip_5_341,E,lower,none,
ip_5_341,ip_5_342,A,lower,none,
ip_5_342,ip_5_343,C,lower,none,
ip_5_343,ip_5_344,H,lower,none,
ip_5_346,ip_5_347,A,lower,none,
ip_5_347,ip_5_348,N,lower,none,
ip_5_349,ip_5_350,G,lower,none,
ip_5_350,ip_5_351,I,lower,none,
ip_5_351,ip_5_352,L,lower,none,
ip_5_352,ip_5_353,L,lower,none,
ip_5_353,ip_5_354,E,lower,none,
ip_5_355,ip_5_356,A,lower,none,
ip_5_356,ip_5_357,I,lower,none,
ip_5_357,ip_5_358,G,lower,none,
ip_5_359,ip_5_360,M,upper,none,
ip_5_360,ip_5_361,O,lower,grave,
ip_5_361,ip_5_362,R,lower,none,
ip_5_363,ip_5_364,A,lower,none,
ip_5_366,ip_5_367,M,upper,none,
ip_5_367,ip_5_368,H,lower,none,
ip_5_368,ip_5_369,E,lower,none,
ip_5_369,ip_5_370,U,lower,none,
ip_5_370,ip_5_371,G,lower,none,
ip_5_374,ip_5_375,S,upper,none,
ip_5_376,ip_5_377,E,lower,none,
ip_5_378,ip_5_379,A,lower,none,
ip_5_380,ip_5_381,B,lower,none,
ip_5_381,ip_5_382,H,lower,none,
ip_5_382,ip_5_383,I,lower,none,
ip_5_383,ip_5_384,O,lower,none,
ip_5_384,ip_5_385,D,lower,none,
ip_5_385,ip_5_386,H,lower,none,
ip_5_387,ip_5_388,A,lower,none,
ip_5_390,ip_5_391,L,lower,none,
ip_5_391,ip_5_392,I,lower,grave,
ip_5_392,ip_5_393,B,lower,none,
ip_5_393,ip_5_394,H,lower,none,
ip_5_394,ip_5_395,R,lower,none,
ip_5_395,ip_5_396,I,lower,none,
ip_5_396,ip_5_397,G,lower,none,
ip_5_397,ip_5_398,E,lower,none,
ip_5_398,ip_5_399,A,lower,none,
ip_5_399,ip_5_400,D,lower,none,
ip_5_400,ip_5_401,H,lower,none,
ip_5_402,ip_5_403,N,lower,none,
ip_5_403,ip_5_404,A,lower,none,
ip_5_404,ip_5_405,M,lower,none,
ip_5_406,ip_5_407,P,lower,none,
ip_5_407,ip_5_408,A,lower,grave,
ip_5_408,ip_5_409,I,lower,none,
ip_5_409,ip_5_410,P,lower,none,
ip_5_410,ip_5_411,E,lower,none,
ip_5_411,ip_5_412,A,lower,none,
ip_5_412,ip_5_413,R,lower,none,
ip_5_413,ip_5_414,A,lower,none,
ip_5_414,ip_5_415,N,lower,none,
ip_5_416,ip_5_417,N,lower,none,
ip_5_417,ip_5_418,A,lower,none,
ip_5_418,ip_5_419,I,lower,none,
ip_5_419,ip_5_420,D,lower,none,
ip_5_420,ip_5_421,H,lower,none,
ip_5_421,ip_5_422,E,lower,none,
ip_5_422,ip_5_423,A,lower,none,
ip_5_423,ip_5_424,C,lower,none,
ip_5_424,ip_5_425,H,lower,none,
ip_5_425,ip_5_426,D,lower,none,
ip_5_427,ip_5_428,A,lower,none,
ip_5_428,ip_5_429,I,lower,none,
ip_5_429,ip_5_430,R,lower,none,
ip_5_431,ip_5_432,F,lower,none,
ip_5_432,ip_5_433,E,lower,none,
ip_5_433,ip_5_434,A,lower,none,
ip_5_434,ip_5_435,D,lower,none,
ip_5_435,ip_5_436,H,lower,none,
ip_5_437,ip_5_438,A,lower,none,
ip_5_440,ip_5_441,B,lower,none,
ip_5_441,ip_5_442,H,lower,none,
ip_5_442,ip_5_443,A,lower,none,
ip_5_443,ip_5_444,I,lower,none,
ip_5_444,ip_5_445,L,lower,none,
ip_5_445,ip_5_446,E,lower,none,
ip_5_450,ip_5_451,S,upper,none,
ip_5_452,ip_5_453,E,lower,none,
ip_5_454,ip_5_455,D,lower,none,
ip_5_455,ip_5_456,A,lower,none,
ip_5_456,ip_5_457,L,lower,none,
ip_5_457,ip_5_458,T,lower,none,
ip_5_458,ip_5_459,A,lower,none,
ip_5_460,ip_5_461,A,lower,none,
ip_5_462,ip_5_463,B,lower,none,
ip_5_463,ip_5_464,H,lower,none,
ip_5_466,ip_5_467,A,lower,none,
ip_5_467,ip_5_468,N,lower,none,
ip_5_468,ip_5_469,N,lower,none,
ip_5_470,ip_5_471,A,lower,none,
ip_5_471,ip_5_472,M,lower,none,
ip_5_473,ip_5_474,F,upper,none,
ip_5_474,ip_5_475,R,lower,none,
ip_5_475,ip_5_476,A,lower,none,
ip_5_476,ip_5_477,N,lower,none,
ip_5_477,ip_5_478,K,lower,none,
