from,to,label,value,case,accent,
ip_1_0,ip_1_1,ALPHABETIC,A,upper,none,
ip_1_3,ip_1_4,ALPHABETIC,C,upper,none,
ip_1_4,ip_1_5,ALPHABETIC,H,lower,none,
ip_1_5,ip_1_6,ALPHABETIC,A,lower,none,
ip_1_6,ip_1_7,ALPHABETIC,O,lower,none,
ip_1_7,ip_1_8,ALPHABETIC,R,lower,none,
ip_1_8,ip_1_9,ALPHABETIC,A,lower,none,
ip_1_10,ip_1_11,ALPHABETIC,D,upper,none,
ip_1_11,ip_1_12,ALPHABETIC,H,lower,none,
ip_1_12,ip_1_13,ALPHABETIC,U,lower,none,
ip_1_13,ip_1_14,ALPHABETIC,B,lower,none,
ip_1_14,ip_1_15,ALPHABETIC,H,lower,none,
ip_1_18,ip_1_19,ALPHABETIC,S,upper,none,
ip_1_20,ip_1_21,ALPHABETIC,E,lower,none,
ip_1_22,ip_1_23,ALPHABETIC,T,upper,none,
ip_1_23,ip_1_24,ALPHABETIC,O,lower,grave,
ip_1_24,ip_1_25,ALPHABETIC,M,lower,none,
ip_1_25,ip_1_26,ALPHABETIC,A,lower,none,
ip_1_26,ip_1_27,ALPHABETIC,S,lower,none,
ip_1_28,ip_1_29,ALPHABETIC,A,lower,none,
ip_1_29,ip_1_30,ALPHABETIC,N,lower,none,
ip_1_31,ip_1_32,ALPHABETIC,A,lower,none,
ip_1_32,ip_1_33,ALPHABETIC,O,lower,none,
ip_1_33,ip_1_34,ALPHABETIC,N,lower,none,
ip_1_35,ip_1_36,ALPHABETIC,C,lower,none,
ip_1_36,ip_1_37,ALPHABETIC,H,lower,none,
ip_1_37,ip_1_38,ALPHABETIC,R,lower,none,
ip_1_38,ip_1_39,ALPHABETIC,O,lower,none,
ip_1_39,ip_1_40,ALPHABETIC,I,lower,none,
ip_1_40,ip_1_41,ALPHABETIC,T,lower,none,
ip_1_41,ip_1_42,ALPHABETIC,E,lower,none,
ip_1_42,ip_1_43,ALPHABETIC,A,lower,none,
ip_1_43,ip_1_44,ALPHABETIC,R,lower,none,
ip_1_45,ip_1_46,ALPHABETIC,A,lower,none,
ip_1_46,ip_1_47,ALPHABETIC,S,lower,none,
ip_1_48,ip_1_49,ALPHABETIC,A,lower,none,
ip_1_49,ip_1_50,ALPHABETIC,I,lower,none,
ip_1_50,ip_1_51,ALPHABETIC,T,lower,none,
ip_1_51,ip_1_52,ALPHABETIC,H,lower,none,
ip_1_52,ip_1_53,ALPHABETIC,N,lower,none,
ip_1_53,ip_1_54,ALPHABETIC,E,lower,none,
ip_1_55,ip_1_56,ALPHABETIC,D,lower,none,
ip_1_56,ip_1_57,ALPHABETIC,H,lower,none,
ip_1_57,ip_1_58,ALPHABETIC,O,lower,none,
ip_1_58,ip_1_59,ALPHABETIC,M,lower,none,
ip_1_59,ip_1_60,ALPHABETIC,H,lower,none,
ip_1_61,ip_1_62,ALPHABETIC,A,lower,none,
ip_1_63,ip_1_64,ALPHABETIC,D,lower,none,
ip_1_64,ip_1_65,ALPHABETIC,H,lower,none,
ip_1_66,ip_1_67,ALPHABETIC,E,lower,grave,
ip_1_67,ip_1_68,ALPHABETIC,I,lower,none,
ip_1_68,ip_1_69,ALPHABETIC,R,lower,none,
ip_1_69,ip_1_70,ALPHABETIC,I,lower,none,
ip_1_70,ip_1_71,ALPHABETIC,C,lower,none,
ip_1_71,ip_1_72,ALPHABETIC,H,lower,none,
ip_1_73,ip_1_74,ALPHABETIC,G,lower,none,
ip_1_74,ip_1_75,ALPHABETIC,U,lower,none,
ip_1_76,ip_1_77,ALPHABETIC,I,lower,none,
ip_1_77,ip_1_78,ALPHABETIC,N,lower,none,
ip_1_78,ip_1_79,ALPHABETIC,B,lower,none,
ip_1_79,ip_1_80,ALPHABETIC,H,lower,none,
ip_1_80,ip_1_81,ALPHABETIC,E,lower,none,
ip_1_82,ip_1_83,ALPHABETIC,T,lower,none,
ip_1_83,ip_1_84,ALPHABETIC,A,lower,none,
ip_1_84,ip_1_85,ALPHABETIC,I,lower,none,
ip_1_85,ip_1_86,ALPHABETIC,D,lower,none,
ip_1_86,ip_1_87,ALPHABETIC,H,lower,none,
ip_1_87,ip_1_88,ALPHABETIC,C,lower,none,
ip_1_88,ip_1_89,ALPHABETIC,U,lower,grave,
ip_1_89,ip_1_90,ALPHABETIC,N,lower,none,
ip_1_92,ip_1_93,ALPHABETIC,R,upper,none,
ip_1_93,ip_1_94,ALPHABETIC,I,lower,none,
ip_1_94,ip_1_95,ALPHABETIC,N,lower,none,
ip_1_95,ip_1_96,ALPHABETIC,N,lower,none,
ip_1_97,ip_1_98,ALPHABETIC,E,lower,none,
ip_1_99,ip_1_100,ALPHABETIC,S,lower,none,
ip_1_100,ip_1_101,ALPHABETIC,I,lower,none,
ip_1_101,ip_1_102,ALPHABETIC,N,lower,none,
ip_1_103,ip_1_104,ALPHABETIC,T,lower,none,
ip_1_104,ip_1_105,ALPHABETIC,R,lower,none,
ip_1_105,ip_1_106,ALPHABETIC,O,lower,none,
ip_1_107,ip_1_108,ALPHABETIC,D,lower,none,
ip_1_108,ip_1_109,ALPHABETIC,H,lower,none,
ip_1_109,ip_1_110,ALPHABETIC,I,lower,grave,
ip_1_110,ip_1_111,ALPHABETIC,C,lower,none,
ip_1_111,ip_1_112,ALPHABETIC,H,lower,none,
ip_1_112,ip_1_113,ALPHABETIC,E,lower,none,
ip_1_113,ip_1_114,ALPHABETIC,A,lower,none,
ip_1_114,ip_1_115,ALPHABETIC,L,lower,none,
ip_1_115,ip_1_116,ALPHABETIC,L,lower,none,
ip_1_118,ip_1_119,ALPHABETIC,O,lower,none,
ip_1_119,ip_1_120,ALPHABETIC,B,lower,none,
ip_1_120,ip_1_121,ALPHABETIC,A,lower,none,
ip_1_121,ip_1_122,ALPHABETIC,I,lower,none,
ip_1_122,ip_1_123,ALPHABETIC,R,lower,none,
ip_1_124,ip_1_125,ALPHABETIC,C,lower,none,
ip_1_125,ip_1_126,ALPHABETIC,H,lower,none,
ip_1_126,ip_1_127,ALPHABETIC,R,lower,none,
ip_1_127,ip_1_128,ALPHABETIC,U,lower,none,
ip_1_128,ip_1_129,ALPHABETIC,A,lower,none,
ip_1_129,ip_1_130,ALPHABETIC,I,lower,none,
