from,to,label,value,
ip_1_1,ip_1_2,PUNCTUATION,"’",
ip_1_17,ip_1_18,PUNCTUATION,"’",
ip_1_65,ip_1_66,PUNCTUATION,"’",
ip_1_90,ip_1_91,PUNCTUATION,".",
ip_1_116,ip_1_117,PUNCTUATION,",",
ip_1_162,ip_1_163,PUNCTUATION,"-",
ip_1_172,ip_1_173,PUNCTUATION,".",
ip_1_176,ip_1_177,PUNCTUATION,"-",
ip_1_239,ip_1_240,PUNCTUATION,".",
ip_1_273,ip_1_274,PUNCTUATION,",",
ip_1_308,ip_1_309,PUNCTUATION,",",
ip_1_322,ip_1_323,PUNCTUATION,"-",
ip_1_345,ip_1_346,PUNCTUATION,"’",
ip_1_363,ip_1_364,PUNCTUATION,".",
ip_1_367,ip_1_368,PUNCTUATION,"’",
ip_1_378,ip_1_379,PUNCTUATION,"’",
ip_1_405,ip_1_406,PUNCTUATION,".",
ip_1_428,ip_1_429,PUNCTUATION,"-",
ip_1_485,ip_1_486,PUNCTUATION,",",
ip_1_510,ip_1_511,PUNCTUATION,"’",
ip_1_520,ip_1_521,PUNCTUATION,",",
ip_1_526,ip_1_527,PUNCTUATION,"’",
ip_1_543,ip_1_544,PUNCTUATION,"-",
ip_1_561,ip_1_562,PUNCTUATION,".",
ip_1_565,ip_1_566,PUNCTUATION,"’",
ip_1_577,ip_1_578,PUNCTUATION,"-",
ip_1_616,ip_1_617,PUNCTUATION,".",
ip_1_665,ip_1_666,PUNCTUATION,"’",
ip_1_721,ip_1_722,PUNCTUATION,"’",
ip_1_729,ip_1_730,PUNCTUATION,",",
ip_1_748,ip_1_749,PUNCTUATION,"’",
ip_1_806,ip_1_807,PUNCTUATION,"-",
ip_1_814,ip_1_815,PUNCTUATION,".",
ip_1_826,ip_1_827,PUNCTUATION,"’",
ip_1_863,ip_1_864,PUNCTUATION,"-",
ip_1_893,ip_1_894,PUNCTUATION,",",
ip_1_915,ip_1_916,PUNCTUATION,"-",
ip_1_960,ip_1_961,PUNCTUATION,",",
ip_1_965,ip_1_966,PUNCTUATION,"‘",
ip_1_971,ip_1_972,PUNCTUATION,"’",
ip_1_980,ip_1_981,PUNCTUATION,",",
ip_1_1003,ip_1_1004,PUNCTUATION,".",
ip_1_1015,ip_1_1016,PUNCTUATION,"’",
ip_1_1059,ip_1_1060,PUNCTUATION,"’",
ip_1_1080,ip_1_1081,PUNCTUATION,",",
ip_1_1102,ip_1_1103,PUNCTUATION,",",
ip_1_1104,ip_1_1105,PUNCTUATION,"“",
ip_1_1132,ip_1_1133,PUNCTUATION,",",
ip_1_1180,ip_1_1181,PUNCTUATION,".",
ip_1_1181,ip_1_1182,PUNCTUATION,"”",
ip_1_1201,ip_1_1202,PUNCTUATION,"’",
ip_1_1290,ip_1_1291,PUNCTUATION,"-",
ip_1_1299,ip_1_1300,PUNCTUATION,".",
ip_1_1302,ip_1_1303,PUNCTUATION,"’",
ip_1_1328,ip_1_1329,PUNCTUATION,"’",
ip_1_1340,ip_1_1341,PUNCTUATION,"-",
ip_1_1376,ip_1_1377,PUNCTUATION,"-",
ip_1_1392,ip_1_1393,PUNCTUATION,"’",
ip_1_1432,ip_1_1433,PUNCTUATION,".",
ip_1_1492,ip_1_1493,PUNCTUATION,".",
ip_1_1495,ip_1_1496,PUNCTUATION,"’",
ip_1_1520,ip_1_1521,PUNCTUATION,"-",
ip_1_1544,ip_1_1545,PUNCTUATION,"’",
ip_1_1557,ip_1_1558,PUNCTUATION,"-",
ip_1_1590,ip_1_1591,PUNCTUATION,".",
ip_1_1604,ip_1_1605,PUNCTUATION,"-",
ip_1_1639,ip_1_1640,PUNCTUATION,",",
ip_1_1674,ip_1_1675,PUNCTUATION,"’",
ip_1_1713,ip_1_1714,PUNCTUATION,",",
ip_1_1735,ip_1_1736,PUNCTUATION,".",
ip_1_1756,ip_1_1757,PUNCTUATION,",",
ip_1_1806,ip_1_1807,PUNCTUATION,"’",
ip_1_1837,ip_1_1838,PUNCTUATION,",",
ip_1_1863,ip_1_1864,PUNCTUATION,"’",
ip_1_1888,ip_1_1889,PUNCTUATION,".",
ip_1_1918,ip_1_1919,PUNCTUATION,",",
ip_1_1925,ip_1_1926,PUNCTUATION,"’",
ip_1_1963,ip_1_1964,PUNCTUATION,"-",
ip_1_1989,ip_1_1990,PUNCTUATION,".",
ip_1_2001,ip_1_2002,PUNCTUATION,"’",
ip_1_2023,ip_1_2024,PUNCTUATION,"’",
ip_1_2029,ip_1_2030,PUNCTUATION,".",
ip_1_2031,ip_1_2032,PUNCTUATION,"“",
ip_1_2045,ip_1_2046,PUNCTUATION,"’",
ip_1_2074,ip_1_2075,PUNCTUATION,"’",
ip_1_2086,ip_1_2087,PUNCTUATION,"?",
ip_1_2087,ip_1_2088,PUNCTUATION,"”",
ip_1_2097,ip_1_2098,PUNCTUATION,".",
ip_1_2100,ip_1_2101,PUNCTUATION,"“",
ip_1_2114,ip_1_2115,PUNCTUATION,",",
ip_1_2115,ip_1_2116,PUNCTUATION,"”",
